Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login suite,Chrome 80.0.3987.163,,,2020-04-14 11:06:05,2020-04-14 11:07:45,1m - 39.647s,FAILED
,,,,,,,
Test Cases/ClientTestCases/Modular/TCLogin,Chrome 80.0.3987.163,To test successsful Login,,2020-04-14 11:06:06,2020-04-14 11:07:45,1m - 38.984s,FAILED
