TEST CASEID,REC NO,TRAINNo,JRNY DATE(MM-DD-YYYY),SOURCE STN CODE,DESTN STN CODE,CLS CODE,QUOTA CODE,PSGN COUNT,BRDG_STNCODE,RESVN_UPTO_STNCODE,INPUT TKT TYPE,INPUT FARE DTLS(Total Fare),OUTPUT FARE DTLS(Total Fare),EXECUTION STATUS,PNR in NxtGen,PSGN CONC DTLS
TC_200051,200051,22955 - KUTCH EXPRESS,08/08/2020,BDTS - BANDRA TERMINUS,BHUJ - BHUJ,SECOND AC - 2A,GENERAL - GN,1,BDTS,BHUJ,E,1710.00,1710,BOOKED OK,PNR No: 8530995654,1%%#,
TC_202757,202757,58011 - HWH CKP PAS,04/07/2020,HWH - HOWRAH JN,PRR - PURULIA JN,SLEEPER - SL,GENERAL - GN,1,HWH,PRR,E,145.00,145,BOOKED OK,PNR No: 6641074614,1%%#,
TC_202758,202758,58011 - HWH CKP PAS,04/07/2020,HWH - HOWRAH JN,PRR - PURULIA JN,SLEEPER - SL,GENERAL - GN,2,HWH,PRR,E,290.00,290,BOOKED OK,PNR No: 6141074595,1%%#2%%#,
TC_202760,202760,58011 - HWH CKP PAS,04/07/2020,HWH - HOWRAH JN,PRR - PURULIA JN,SLEEPER - SL,GENERAL - GN,4,HWH,PRR,S,580.00,580,BOOKED OK,PNR No: 6641074615,1%%#2%%#3%%#4%%#,
C_203273,203273,82355 - SUVIDHA TRAIN,08/07/2020,PNBE - PATNA JN,CSMT - C SHIVAJI MAH T,SLEEPER - SL,GENERAL - GN,4,PNBE,CSMT,E,3640.00,3640,BOOKED OK,PNR No: 6141074596,1%%#2%%#3%%#4%%#,
TC_203276,203276,82356 - PNBE SUVIDHA EX,03/07/2020,CSMT - C SHIVAJI MAH T,PNBE - PATNA JN,THIRD AC - 3A,GENERAL - GN,1,CSMT,PNBE,S,2280.00,2280,BOOKED OK,PNR No: 8230995605,1%%#,
TC_203278,203278,82356 - PNBE SUVIDHA EX,07/07/2020,CSMT - C SHIVAJI MAH T,PNBE - PATNA JN,SLEEPER - SL,GENERAL - GN,2,CSMT,PNBE,E,1820.00,1820,BOOKED OK,PNR No: 8730995625,1%%#2%%#,
TC_203279,203279,82356 - PNBE SUVIDHA EX,10/07/2020,CSMT - C SHIVAJI MAH T,PNBE - PATNA JN,SLEEPER - SL,GENERAL - GN,1,CSMT,PNBE,E,910.00,910,BOOKED OK,PNR No: 8330995640,1%%#,
TC_203280,203280,82356 - PNBE SUVIDHA EX,14/07/2020,CSMT - C SHIVAJI MAH T,PNBE - PATNA JN,SLEEPER - SL,GENERAL - GN,1,CSMT,PNBE,E,910.00,910,BOOKED OK,PNR No: 8804332666,1%%#,
TC_203282,203282,82356 - PNBE SUVIDHA EX,17/07/2020,CSMT - C SHIVAJI MAH T,PNBE - PATNA JN,SLEEPER - SL,GENERAL - GN,1,CSMT,PNBE,S,910.00,910,BOOKED OK,PNR No: 8530995655,1%%#,
TC_203242,203242,59547 - OKHA PASSENGER,02/07/2020,RJT - RAJKOT JN,OKHA - OKHA,SLEEPER - SL,GENERAL - GN,1,RJT,OKHA,S,125.00,125,BOOKED OK,PNR No: 8230995606,1%%#,
TC_203243,203243,59547 - OKHA PASSENGER,04/07/2020,BLWR - BILESHWAR,DWK - DWARKA,SLEEPER - SL,GENERAL - GN,2,RJT,DWK,S,240.00,240,BOOKED OK,PNR No: 8730995626,1%%#2%%#,
