TEST CASEID,REC NO,TRAINNo,JRNY DATE(MM-DD-YYYY),SOURCE STN CODE,DESTN STN CODE,CLS CODE,QUOTA CODE,PSGN COUNT,BRDG_STNCODE,RESVN_UPTO_STNCODE,INPUT TKT TYPE,INPUT FARE DTLS(Total Fare),OUTPUT FARE DTLS(Total Fare),EXECUTION STATUS,PNR in NxtGen,PSGN CONC DTLS
TC_109489,109489,13106 - BUI SDAH EXP,07/07/2020,CPR - CHHAPRA,BDC - BANDEL JN,SLEEPER - SL,GENERAL - GN,5,CPR,BDC,S,1475.00,1650,BOOKED OK,PNR No: 2109696868,1%%#2%%#3%%#4%%#5%%#,
TC_109490,109490,13106 - BUI SDAH EXP,07/07/2020,CPR - CHHAPRA,SDAH - SEALDAH,SLEEPER - SL,GENERAL - GN,6,CPR,SDAH,E,1915.00,2100,BOOKED OK,PNR No: 2756995808,1%%#2%%#3%%#4%%#5%%#6%%#,
TC_170735,170735,19306 - KYQ INDB EXP,20/07/2020,CNB - KANPUR CENTRAL,INDB - INDORE JN BG,THIRD AC - 3A,GENERAL - GN,3,CNB,INDB,E,2755.00,3330,BOOKED OK,PNR No: 6641074613,1%%#2%%#3%%#,
TC_200048,200048,22955 - KUTCH EXPRESS,07/08/2020,BVI - BORIVALI,BRC - VADODARA JN,SLEEPER - SL,GENERAL - GN,2,BVI,BRC,E,530.00,730,BOOKED OK,PNR No: 8330995639,1%%#2%%#,
